,name,question,choice,answer,type,score,distortion,strength,result
0,MMBench_35.jpg,What's the function of the demonstrated object?,A.running; B.Play football; C.Play tennis; D.Play basketball,C,MCQ,4.171875,1,2,1.0
1,QBench_1.jpg,Which part of this image is the brightest?,A.Ground; B.Pole; C.Net; D.Warning sign,D,MCQ,3.763671875,1,2,1.0
2,RealWorldQA_22.jpg,In which direction is the one-way sign in this scene facing?,A.Left; B.Right,B,MCQ,3.19921875,1,2,1.0
3,RealWorldQA_79.jpg,Where is this computer cable relative to the computer?,A.The cable is laying beside the computer.; B.The cable is on top of the computer.; C.The cable is plugged into the computer.,C,MCQ,3.35546875,1,1,1.0
4,RealWorldQA_115.jpg,How many pedestrians are there?,A.0; B.1; C.2,A,MCQ,3.1171875,1,2,1.0
5,RealWorldQA_123.jpg,What is the speed limit on this road?,A.15; B.25; C.35,B,MCQ,3.32421875,1,1,1.0
6,RealWorldQA_136.jpg,Is the stop sign closer to us than the white SUV?,A.Yes; B.No,B,MCQ,3.77734375,1,2,1.0
7,RealWorldQA_137.jpg,How far apart are the the one pedestrian and the minivan nearest to us horizontally?,A.5 meters; B.15 meters; C.25 meters,B,MCQ,3.16015625,1,2,1.0
8,RealWorldQA_142.jpg,Is this a one-way road?,A.Yes; B.No,B,MCQ,3.5234375,1,3,1.0
9,RealWorldQA_151.jpg,How many pieces of debris is next to the white van?,A.2; B.3; C.4,B,MCQ,3.01953125,1,3,1.0
10,RealWorldQA_155.jpg,How many door hinges are located in this image?,A.There are 3 door hinges in this image.; B.There are 12 door hinges in this image.; C.There are 6 door hinges in this image.,B,MCQ,4.16796875,1,2,1.0
11,RealWorldQA_179.jpg,Where are the bottles that are standing up?,A.The bottles in the crate on the lower left are standing upright.; B.The bottles in the crate on the top right are standing upright.; C.The bottles in the crate in the center are standing upright.,B,MCQ,4.06640625,1,2,1.0
12,RealWorldQA_184.jpg,Where is the television in relation to the bed?,A.The television is to the left of the bed on the wall.; B.The television is to the right of the bed on the wall.; C.The television is behind the bed on the wall.,A,MCQ,4.8046875,1,3,1.0
13,RealWorldQA_253.jpg,How many trees are in this image?,A.There are 4 trees in this image.; B.There are 3 trees in this image.; C.There are 5 trees in this image.,A,MCQ,4.3359375,1,1,1.0
14,RealWorldQA_281.jpg,Is the light green?,A.Yes; B.No,A,MCQ,3.890625,1,2,1.0
15,OKVQA_2.jpg,What type of bike is on the ground?,N,bmx,VQA,4.421875,1,1,1.0
16,OKVQA_27.jpg,Which class are these students most likely attending?,N,culinary,VQA,4.82421875,1,2,0.8
17,OKVQA_31.jpg,Which type of metal is used for making this toilet?,N,stainless steel,VQA,4.109375,1,2,1.0
18,OKVQA_33.jpg,The sandwich in this photo was wrapped in what?,N,foil,VQA,4.34375,1,2,1.0
19,OKVQA_47.jpg,What is the name of the hand held equipment being used?,N,ski pole,VQA,4.75,1,1,1.0
20,OKVQA_50.jpg,What kind of trees are in the background?,N,palm tree,VQA,3.373046875,1,1,1.0
21,OKVQA_65.jpg,What can this be used for?,N,mousepad,VQA,3.28125,1,2,0.5
