,name,answer,type,distortion,strength
0,MMBench_35.jpg,C,MCQ,1,2
1,QBench_1.jpg,D,MCQ,1,2
2,RealWorldQA_22.jpg,B,MCQ,1,2
3,RealWorldQA_79.jpg,A,MCQ,1,1
4,RealWorldQA_115.jpg,A,MCQ,1,2
5,RealWorldQA_123.jpg,C,MCQ,1,1
6,RealWorldQA_136.jpg,A,MCQ,1,2
7,RealWorldQA_137.jpg,A,MCQ,1,2
8,RealWorldQA_142.jpg,A,MCQ,1,3
9,RealWorldQA_151.jpg,C,MCQ,1,3
10,RealWorldQA_155.jpg,A,MCQ,1,2
11,RealWorldQA_179.jpg,A,MCQ,1,2
12,RealWorldQA_184.jpg,A,MCQ,1,3
13,RealWorldQA_253.jpg,A,MCQ,1,1
14,RealWorldQA_281.jpg,A,MCQ,1,2
15,OKVQA_2.jpg,A dirt bike is on the ground.,VQA,1,1
16,OKVQA_27.jpg,"These students are most likely attending a cooking or culinary class, as they are seen in a kitchen environment, preparing and handling food. The presence of a pizza on a pan and the three students wearing aprons suggests that they are engaged in a hands-on cooking activity.",VQA,1,2
17,OKVQA_31.jpg,Stainless steel is used for making this toilet.,VQA,1,2
18,OKVQA_33.jpg,The sandwich in this photo was wrapped in tin foil.,VQA,1,2
19,OKVQA_47.jpg,Ski poles,VQA,1,1
20,OKVQA_50.jpg,"In the background, there are palm trees.",VQA,1,1
21,OKVQA_65.jpg,"This image shows a computer mouse sitting on top of a book, which is open to a page. The computer mouse can be used for various purposes, such as navigating through digital content, browsing the internet, and interacting with software applications. The book, on the other hand, is a traditional printed resource that can be used for reading, studying, or researching information. The combination of the computer mouse and the book suggests that the user might be engaged in a multitasking environment",VQA,1,2
22,OKVQA_73.jpg,"The name of this sandwich is a ""Hamburger.""",VQA,1,3
23,OKVQA_151.jpg,The advertisements on the storefront are written in English. They are advertising hot dogs and hamburgers.,VQA,1,2
24,OKVQA_170.jpg,"Based on the image, it is difficult to determine the exact model of the TV. However, it is a flat-screen TV, which suggests that it is likely a modern and high-quality model. The specific brand and model cannot be determined without more information.",VQA,1,3
25,OKVQA_210.jpg,"The image shows a desktop computer setup, which includes a monitor, keyboard, mouse, and speakers.",VQA,1,3
